#ID_REF = 
#VALUE = Normalized signal intensity
ID_REF	VALUE
1	10934
2	7835
3	11037
4	10758
5	18501
6	30551
7	6447
8	9128
9	20554
10	18287
11	10033
12	25930
13	25632
14	9154
15	8013
16	10301
17	13028
18	25209
19	24537
20	6903
21	12766
22	14798
23	14371
24	7107
25	10430
26	21033
27	8349
28	8531
29	9725
30	11198
31	23331
32	11522
33	11470
34	12728
35	10451
36	17066
37	14026
38	11569
39	10320
40	11909
41	17750
42	10065
43	9793
44	12623
45	11763
46	23626
47	10296
48	13296
49	7869
50	6109
51	23653
52	15870
53	13631
54	11805
55	6687
56	7556
57	7641
58	8104
59	18832
60	22191
61	22800
62	8924
63	10077
64	16563
65	9044
66	8886
67	19112
68	9167
69	11237
70	30185
71	18339
72	11843
73	11538
74	15301
75	11515
76	17652
77	22297
78	21612
79	44915
80	10191
81	7588
82	7075
83	12767
84	21310
85	8360
86	13100
87	28182
88	8249
89	8138
90	11135
91	8725
92	10601
93	11340
94	8956
95	23355
96	10452
97	13477
98	29545
99	10716
100	40106
101	19353
102	29396
103	10391
104	6819
105	7548
106	11265
107	10702
108	17013
109	8294
110	10569
111	8645
112	13210
113	7702
114	10883
115	15342
116	7422
117	17169
118	6273
119	6785
120	16402
121	41928
122	13961
123	10207
124	9142
125	15570
126	31355
127	11520
128	19587
129	35579
130	10969
131	31348
132	8753
133	11999
134	9360
135	23496
136	13132
137	7001
138	14613
139	9123
140	6561
141	8421
142	12032
143	26956
144	13337
145	10069
146	12355
147	8954
148	15458
149	29977
150	14225
151	18949
152	22279
153	32143
154	6714
155	10051
156	28380
157	7591
158	9709
159	12393
160	12667
161	35174
162	9919
163	19248
164	14275
165	7591
166	9039
167	12880
168	17164
169	17334
170	12736
171	12859
172	8828
173	36977
174	10391
175	16331
176	9356
177	24081
178	9332
179	6708
180	11778
181	14764
182	13447
183	13298
184	8971
185	20070
186	24742
187	12368
188	24166
189	9592
190	19219
191	13771
192	9949
193	7259
194	7707
195	10499
196	13833
197	11707
198	10148
199	19741
200	6755
201	6410
202	18888
203	7485
204	24757
205	14249
206	6359
207	14253
208	24527
209	19063
210	6262
211	9970
212	8111
213	9126
214	11115
215	24363
216	11756
217	9185
218	26458
219	14074
220	12925
221	10193
222	12227
223	24622
224	10062
225	14753
226	5964
227	6484
228	13595
229	9971
230	10558
231	12264
232	38180
233	8706
234	7285
235	10723
236	17843
237	6749
238	17971
239	16193
240	38090
241	7485
242	17819
243	25301
244	13389
245	10042
246	8691
247	8872
248	20890
249	11411
250	6920
251	23684
252	9809
253	8772
254	14630
255	6647
256	12355
257	16312
258	20567
259	17684
260	19120
261	7998
262	17105
263	10962
264	11531
265	10128
266	22247
267	56716
268	9220
269	7955
270	13452
271	7392
272	9845
273	22348
274	9436
275	21240
276	8724
277	7139
278	10658
279	14066
